# 128 coefficient => 1x color value (identity output)
# No single term, nor sum of line should exceed 255!

# Edge detect (25.00% Edge + 62.50% Brightness, Smoothstep_3 interpolated)

# horizontal coefficients
 -32, 144, -32,   0
 -32, 144, -32,   0
 -32, 143, -31,   0
 -31, 139, -27,  -1
 -30, 132, -20,  -2
 -27, 119,  -7,  -5
 -24, 101,  11,  -8
 -20,  80,  32, -12
 -16,  56,  56, -16
 -12,  32,  80, -20
  -8,  11, 101, -24
  -5,  -7, 119, -27
  -2, -20, 132, -30
  -1, -27, 139, -31
   0, -31, 143, -32
   0, -32, 144, -32

# vertical coefficients
 -32, 144, -32,   0
 -32, 144, -32,   0
 -32, 143, -31,   0
 -31, 139, -27,  -1
 -30, 132, -20,  -2
 -27, 119,  -7,  -5
 -24, 101,  11,  -8
 -20,  80,  32, -12
 -16,  56,  56, -16
 -12,  32,  80, -20
  -8,  11, 101, -24
  -5,  -7, 119, -27
  -2, -20, 132, -30
  -1, -27, 139, -31
   0, -31, 143, -32
   0, -32, 144, -32
