# 128 coefficient => 1x color value (identity output)
# No single term, nor sum of line should exceed 255!

# Edge detect (12.50% Edge + 75.00% Brightness, Bilinear interpolated)

# horizontal coefficients
 -16, 128, -16,   0
 -15, 119,  -7,  -1
 -14, 110,   2,  -2
 -13, 101,  11,  -3
 -12,  92,  20,  -4
 -11,  83,  29,  -5
 -10,  74,  38,  -6
  -9,  65,  47,  -7
  -8,  56,  56,  -8
  -7,  47,  65,  -9
  -6,  38,  74, -10
  -5,  29,  83, -11
  -4,  20,  92, -12
  -3,  11, 101, -13
  -2,   2, 110, -14
  -1,  -7, 119, -15

# vertical coefficients
 -16, 128, -16,   0
 -15, 119,  -7,  -1
 -14, 110,   2,  -2
 -13, 101,  11,  -3
 -12,  92,  20,  -4
 -11,  83,  29,  -5
 -10,  74,  38,  -6
  -9,  65,  47,  -7
  -8,  56,  56,  -8
  -7,  47,  65,  -9
  -6,  38,  74, -10
  -5,  29,  83, -11
  -4,  20,  92, -12
  -3,  11, 101, -13
  -2,   2, 110, -14
  -1,  -7, 119, -15
